TITLE,PRINCIPAL_PARTS,PRINCIPAL_PARTS_NO_DIACRITICALS,SIMPLE_LEMMA,SHORT_DEFINITION,LONG_DEFINITION,PART_OF_SPEECH,LOGEION_LINK,ROW_FILTERS,CONJUNCTION,DECLENSION,PROPER,REGULAR,STOPWORD
Α,ἆ,α,α,ah!,ah!,Interjection,http://logeion.uchicago.edu/index.html#α,,,,,,
ΑΑΑΤΟΣ,ἀάατος –ον,ααατος –ον,ααατος,"not to be injured, inviolable","not to be injured, inviolable",Adjective,http://logeion.uchicago.edu/index.html#ἀάατος,,,1,,,
ΑΑΓΗΣ,ἀαγής –ές,ααγης –ες,ααγης,"unbroken, not to be broken, hard, strong","unbroken, not to be broken, hard, strong",Adjective,http://logeion.uchicago.edu/index.html#ἀαγής,,,3,,,
ΑΑΠΤΟΣ,ἄαπτος –ον,ααπτος –ον,ααπτος,"not to be touched, resistless, invincible","not to be touched, resistless, invincible",Adjective,http://logeion.uchicago.edu/index.html#ἄαπτος,,,1,,,
ΑΑΤΟΣ,ἄατος –ον,αατος –ον,αατος,insatiate,insatiate,Adjective,http://logeion.uchicago.edu/index.html#ἄατος,,,1,,,
ΑΑΩ,ἀάω ἀάσω ἄασα – – ἀάσθην,ααω αασω αασα – – αασθην,ααω,"to hurt, damage","to hurt, damage",Verb,http://logeion.uchicago.edu/index.html#ἀάω,,,,,,
ΑΒΑΙ,Ἄβαι –ῶν αἱ,Αβαι –ων αι,Αβαι,"Abae, town in Phocis","Abae, town in Phocis",Noun,http://logeion.uchicago.edu/index.html#Ἄβαι,,,1,T,,
ΑΒΑΚΕΩ,ἀβακέω ἀβακήσω ἀβάκησα,αβακεω αβακησω αβακησα,αβακεω,to be speechless,to be speechless,Verb,http://logeion.uchicago.edu/index.html#ἀβακέω,,,,,,
ΑΒΑΝΤΕΣ,Ἄβαντες –ων οἱ,Αβαντες –ων οι,Αβαντες,"Abantes, a tribe on Euboea","Abantes, a tribe on Euboea",Noun,http://logeion.uchicago.edu/index.html#Ἄβαντες,,,3,T,,
ΑΒΑΝΤΙΣ,Ἀβαντίς –ίδος,Αβαντις –ιδος,Αβαντις,"Abantean, i.e. Euboean","Abantean, i.e. Euboean",Noun,http://logeion.uchicago.edu/index.html#Αβαντις,,,3,T,,
ΑΒΑΡΒΑΡΕΗ,Ἀβαρβαρέη –ης ἡ,Αβαρβαρεη –ης η,Αβαρβαρεη,a Trojan fountain nymph,a Trojan fountain nymph,Noun,http://logeion.uchicago.edu/index.html#Ἀβαρβαρέη,,,1,T,,
ΑΒΑΣ,Ἄβας –αντος ὁ,Αβας –αντος ο,Αβας,"son of the dream - reader Eurydamas, slain by Diomedes",son of the dream-reader Eurydamas,Noun,http://logeion.uchicago.edu/index.html#Ἄβας,,,3,T,,
ΑΒΑΣΑΝΙΣΤΟΣ,ἀβασάνιστος –ον,αβασανιστος,αβασανιστος,"not examined by torture, untortured","not examined by torture, untortured",Adjective,http://logeion.uchicago.edu/index.html#ἀβασάνιστος,,,1,,,
ΑΒΑΤΟΣ,ἄβατος –ον,αβατος –ον,αβατος,"untrodden, impassable, inaccessible","untrodden, impassable, inaccessible",Adjective,http://logeion.uchicago.edu/index.html#ἄβατος,,,1,,,
ΑΒΔΗΡΑ,Ἄβδηρα –ων τά,Αβδηρα –ων τα,Αβδηρα,"town of Abdera, known for stupidity of inhabitants","town of Abdera, known for stupidity of inhabitants",Noun,http://logeion.uchicago.edu/index.html#Ἄβδηρα,,,2,T,,
ΑΒΙΩΝ,Ἀβίων –ωνος ὁ,Αβιων –ωνος ο,Αβιων,Abion (name),Abion (name),Noun,http://logeion.uchicago.edu/index.html#Ἀβίων,,,3,T,,
ΑΒΙΩΤΟΣ,ἀβίωτος –ον,αβιωτος -ον,αβιωτος,"not to be lived, insupportable","not to be lived, insupportable",Adjective,http://logeion.uchicago.edu/index.html#ἀβίωτος,,,1,,,
ΑΒΛΗΡΟΣ,Ἄβληρος –ου ὁ,Αβληρος –ου ο,Αβληρος,a Trojan,a Trojan,Noun,http://logeion.uchicago.edu/index.html#Ἄβληρος,,,2,T,,
ΑΒΛΗΣ,ἀβλής –ῆτος,αβλης –ητος,αβλης,not thrown,not thrown,Adjective,http://logeion.uchicago.edu/index.html#ἀβλής,,,3,,,
ΑΒΛΗΤΟΣ,ἄβλητος –ον,αβλητος –ον,αβλητος,not hit,not hit,Adjective,http://logeion.uchicago.edu/index.html#ἄβλητος,,,1,,,
ΑΒΛΗΧΡΟΣ,ἀβληχρός –ά –όν,αβληχρος –α –ον,αβληχρος,"weak, feeble","weak, feeble",Adjective,http://logeion.uchicago.edu/index.html#ἀβληχρός,,,1,,,
ΑΒΟΥΛΙΑ,ἀβουλία –ας ἡ,αβουλια –ας η,αβουλια,"want of counsel, thoughtlessness","want of counsel, thoughtlessness",Noun,http://logeion.uchicago.edu/index.html#ἀβουλία,,,1,,,
ΑΒΟΥΛΟΣ,ἄβουλος –ον,αβουλος –ον,αβουλος,"inconsiderate, ill-advised","inconsiderate, ill-advised",Adjective,http://logeion.uchicago.edu/index.html#ἄβουλος,,,1,,,
ΑΒΡΟΔΙΑΙΤΟΣ,ἁβροδίαιτος –ον,αβροδιαιτος,αβροδιαιτος,living delicately,living delicately,Adjective,http://logeion.uchicago.edu/index.html#ἁβροδίαιτος,,,1,,,
ΑΒΡΟΜΟΣ,ἄβρομος –ον,αβρομος –ον,αβρομος,"very noisy, boisterous","very noisy, boisterous",Adjective,http://logeion.uchicago.edu/index.html#ἄβρομος,,,1,,,
ΑΒΡΟΣ,ἁβρός –ή –όν,αβρος –η –ον,αβρος,"delicate, graceful","delicate, graceful, beauteous, pretty",Adjective,http://logeion.uchicago.edu/index.html#ἁβρός,,,1,,,
ΑΒΡΟΤΟΣ,ἄβροτος [–η] –ον,αβροτος [–η] –ον,αβροτος,"immortal, divine, holy","immortal, divine, holy",Adjective,http://logeion.uchicago.edu/index.html#ἄβροτος,,,1,,,
ΑΒΡΩΝΙΧΟΣ,Ἁβρώνιχος –ου ὁ,Αβρωνιχος,Αβρωνιχος,Habronichus (name),"Habronichus, name of a man",Noun,http://logeion.uchicago.edu/index.html#Ἁβρώνιχος,,,2,T,,
ΑΒΥΔΟΘΕΝ,Ἀβυδόθεν,Αβυδοθεν,Αβυδοθεν,from Abydos,from Abydos,Adverb,http://logeion.uchicago.edu/index.html#Ἀβυδόθεν,,,,T,,
ΑΒΥΔΟΘΙ,Ἀβυδόθι,Αβυδοθι,Αβυδοθι,at Abydos,at Abydos,Adverb,http://logeion.uchicago.edu/index.html#Ἀβυδόθι,,,,T,,
ΑΒΥΔΟΣ,Ἄβυδος –ου ἡ,Αβυδος –ου η,Αβυδος,Abydos,Abydos,Noun,http://logeion.uchicago.edu/index.html#Ἄβυδος,,,2,T,,
ΑΓΑΘΟΕΡΓΟΣ,ἀγαθοεργός –όν,αγαθοεργος –ον,αγαθοεργος,doing good,doing good,Adjective,http://logeion.uchicago.edu/index.html#ἀγαθοεργός,,,1,,,
ΑΓΑΘΟΠΟΙΟΣ,ἀγαθοποιός –όν,αγαθοποιος –ον,αγαθοποιος,"doing good, beneficent","doing good, beneficent",Adjective,http://logeion.uchicago.edu/index.html#ἀγαθοποιός,,,1,,,
ΑΓΑΘΟΣ,ἀγαθός –ή –όν,αγαθος –η –ον,αγαθος,"good, noble",good,Adjective,http://logeion.uchicago.edu/index.html#ἀγαθός,,,1,,,
ΑΓΑΘΩΝ,Ἀγάθων –ωνος ὁ,Αγαθων –ωνος ο,Αγαθων,Agathon,Agathon,Noun,http://logeion.uchicago.edu/index.html#Ἀγάθων,,,3,T,,
ΑΓΑΙΟΜΑΙ,ἀγαίομαι – – – – –,αγαιομαι – – – – –,αγαιομαι,to be indignant at,to be indignant at,Verb,http://logeion.uchicago.edu/index.html#ἀγαίομαι,,,,,,
ΑΓΑΚΛΕΗΣ/2,ἀγακλεής –ές,αγακλεης –ες,αγακλεης,"very glorious, famous","very glorious, famous",Adjective,http://logeion.uchicago.edu/index.html#ἀγακλεής,,,3,,,
ΑΓΑΚΛΕΙΤΟΣ,ἀγακλειτός –ή –όν,αγακλειτος –η –ον,αγακλειτος,"highly renowned, famous","highly renowned, famous",Adjective,http://logeion.uchicago.edu/index.html#ἀγακλειτός,,,1,,,
ΑΓΑΛΛΙΣ,ἀγαλλίς –ίδος ἡ,αγαλλις –ιδος η,αγαλλις,the iris,the iris,Noun,http://logeion.uchicago.edu/index.html#ἀγαλλίς,,,3,,,
ΑΓΑΛΛΩ,ἀγάλλω ἀγαλῶ ἤγηλα,αγαλλω αγαλω ηγηλα,αγαλλω,"to make glorious, glorify, exalt","to make glorious, glorify, exalt",Verb,http://logeion.uchicago.edu/index.html#ἀγάλλω,,,,,,
ΑΓΑΛΜΑ,ἄγαλμα –ατος τό,αγαλμα –ατος το,αγαλμα,"glory, statute, pleasing gift","a glory, delight, honour; a cult statue",Noun,http://logeion.uchicago.edu/index.html#ἄγαλμα,,,3,,,
ΑΓΑΛΜΑΤΟΠΩΛΗΣ,ἀγαλματοπώλης –ου ὁ,αγαλματοπωλης –ου ο,αγαλματοπωλης,seller of images,seller of images,Noun,http://logeion.uchicago.edu/index.html#ἀγαλματοπώλης,,,1,,,
ΑΓΑΜΑΙ,ἄγαμαι ἀγασθήσομαι ἠγασάμην ἠγάσθην,αγαμαι αγασθησομαι ηγασαμην ηγασθην,αγαμαι,"to wonder, be astonished","to wonder, be astonished",Verb,http://logeion.uchicago.edu/index.html#ἄγαμαι,,,,,,
ΑΓΑΜΕΜΝΟΝΕΟΣ,Ἀγαμεμνόνεος –α –ον,Αγαμεμνονεος –α –ον,Αγαμεμνονεος,of Agamemnon,of Agamemnon,Adjective,http://logeion.uchicago.edu/index.html#Ἀγαμεμνόνεος,,,1,T,,
ΑΓΑΜΕΜΝΟΝΙΔΗΣ,Ἀγαμεμνονίδης –ου ὁ,Αγαμεμνονιδης –ου ο,Αγαμεμνονιδης,Agamemnon's son,Agamemnon's son,Noun,http://logeion.uchicago.edu/index.html#Ἀγαμεμνονίδης,,,1,T,,
