TITLE,HC Intermediate Latin Core (Combined)
SVM/1,1_1
QVI/1,1_1
ET/2,1_1
IN,1_1
TV,1_1
IS,1_1
HIC/1,1_1
QVE,1_1
NON,1_1
EGO,1_1
VT/4,1_1
AB,1_1
SI/2,1_1
SVI/1,1_1
AD/2,1_1
RES,1_1
OMNIS,1_1
CVM/2,1_1
ATQVE/1,1_1
FACIO,1_1
NEQVE,1_1
TVVS,1_1
ILLE,1_1
SED,1_1
POSSVM/1,1_1
CVM/3,1_1
AMICVS/2,1_1
QVIS/1,1_1
IPSE,1_1
VIDEO,1_1
SVVS,1_1
MEVS,1_1
AMICITIA,1_1
IAM,1_1
PVBLICVS/2,1_1
DICO/2,1_1
EX,1_1
ETIAM,1_1
CONSVL,1_1
QVAM/1,1_1
AVT,1_1
VRBS,1_1
HABEO,1_1
DE,1_1
ENIM/2,1_1
TANTVS,1_1
MVLTVS,1_1
DO,1_1
VIR,1_1
MAGNVS,1_1
NOS,1_1
IDEM,1_1
ISTE,1_1
SENATVS,1_1
DIES,1_1
NIHIL,1_1
VENIO,1_1
SIC,1_1
BONVS,1_1
VNVS,1_1
TAMEN,1_1
BELLVM,1_1
REX,1_1
FERO,1_1
TVM,1_1
AVTEM,1_1
ALTER,1_1
QVIDEM,1_1
ITA,1_1
ALIVS,1_1
TAM,1_1
VITA,1_1
LOCVS,1_1
NISI,1_1
MANVS/1,1_1
CIVIS,1_1
NE/4,1_1
NOSTER,1_1
PER,1_1
ANIMVS,1_1
DEVS,1_1
VIVO,1_1
PATER,1_1
TEMPVS/1,1_1
PVER,1_1
NVLLVS,1_1
SENTIO,1_1
AGO,1_1
HOMO,1_1
FRATER,1_1
INTER,1_1
CONSILIVM,1_1
NVNC,1_1
NEMO,1_1
ALIQVIS,1_1
QVIDAM,1_1
APVD,1_1
DOMVS,1_1
VOLO/3,1_1
HOSTIS,1_1
QVISQVAM,1_1
NAM,1_1
PARS,1_1
TERRA,1_1
AT/2,1_1
CORPVS,1_1
QVOQVE,1_1
PETO,1_1
IVBEO,1_1
VBI/1,1_1
AN,1_1
MORS,1_1
EO/1,1_1
ARMA,1_1
SVPERVS,1_1
PONO,1_1
DVM/2,1_1
SINE,1_1
TENEO,1_1
CAVSA,1_1
SEQVOR,1_1
CREDO,1_1
VIRTVS,1_1
ANTE/2,1_1
QVAERO,1_1
MITTO,1_1
VIS,1_1
AMOR,1_1
NOX,1_1
REGNVM,1_1
POPVLVS/1,1_1
PRO/1,1_1
CAPIO/2,1_1
DVCO,1_1
NOMEN,1_1
FORTVNA,1_1
NOVVS,1_1
GRAVIS,1_1
PARVVS/2,1_1
RELINQVO,1_1
SAEPE,1_1
FIO,1_1
DEINDE,1_1
MODO/1,1_1
SCELVS,1_1
DEBEO,1_1
FATVM,1_1
POST/2,1_1
AVDIO,1_1
PVTO,1_1
CETERVS,1_2
QVISQVE/2,1_2
NVMQVAM,1_2
VERO/3,1_2
LOQVOR,1_2
VOX,1_2
VLLVS,1_2
FIDES/2,1_2
PATIOR,1_2
DVO,1_2
BENE,1_2
QVANTVS/1,1_2
CONTINEO,1_2
PAVCI,1_2
SCIO,1_2
GERO,1_2
AQVA,1_2
TOLLO,1_2
VIX,1_2
VERVS,1_2
INTELLIGO,1_2
VALEO,1_2
VERBVM,1_2
TALIS,1_2
AVDEO,1_2
SATIS/2,1_2
MEMORIA,1_2
GENVS/1,1_2
NATVRA,1_2
NASCOR,1_2
CAELVM/1,1_2
DOLOR,1_2
HAVD,1_2
VERTO,1_2
SERVO,1_2
FRANGO,1_2
ADHVC,1_2
DVLCIS,1_2
CVRO,1_2
PROBO,1_2
SECVNDVS/1,1_2
EXCIPIO,1_2
LAVDO,1_2
SVPERBVS/2,1_2
MVNVS,1_2
IVDICO,1_3
DILIGO/3,1_3
VTERQVE,1_3
PROPTER/2,1_3
PRAESIDIVM,1_3
PRIMVM,1_3
AETAS,1_3
IVS/1,1_3
VMQVAM,1_3
MOS,1_3
MODVS,1_3
PAR/2,1_3
HONOR,1_3
NEGO,1_3
HVMANVS,1_3
STVDIVM,1_3
ADVERSVS/2,1_3
CARVS,1_3
REPERIO,1_3
QVALIS/1,1_3
DESVM/1,1_3
ODIVM,1_3
VSQVE,1_3
CAREO,1_3
HONESTVS,1_3
DONO,1_3
QVAMQVAM/2,1_3
VEL/1,1_3
LONGVS,1_3
INQVIO,1_3
IGITVR,1_3
PVLCHER,1_3
FINGO,1_3
QVASI/1,1_3
MVTO/2,1_3
NOSCO,1_3
MISCEO,1_3
DESERO/2,1_3
APPAREO,1_3
OPVS/1,1_3
CVR/1,1_3
NOLO,1_3
COLO/2,1_3
SPERO,1_3
QVAMVIS/1,1_3
DIV,1_4
SALVS,1_4
PERVENIO,1_4
OCVLVS,1_4
SOLVM/2,1_4
AMO,1_4
PERDO,1_4
NVM,1_4
CVRA,1_4
TRADO,1_4
RECIPIO,1_4
VTOR,1_4
COGITO,1_4
SCRIBO,1_4
DENIQVE,1_4
TOTVS,1_4
QVIA,1_4
TIMEO,1_4
ITAQVE,1_4
PREMO,1_4
FALLO,1_4
VEREOR,1_4
ACCIPIO,1_4
CONTRA/2,1_4
VITIVM,1_4
PRIOR,1_4
IMPERO,1_4
LIBIDO,1_4
