TITLE,HC Third Semester Latin Core
SVM/1,1
QVI/1,1
ET/2,1
IN,1
TV,1
IS,1
HIC/1,1
QVE,1
NON,1
EGO,1
VT/4,1
AB,1
SI/2,1
SVI/1,1
AD/2,1
RES,1
OMNIS,1
CVM/2,1
ATQVE/1,1
FACIO,1
NEQVE,1
TVVS,1
ILLE,1
SED,1
POSSVM/1,1
CVM/3,1
AMICVS/2,1
QVIS/1,1
IPSE,1
VIDEO,1
SVVS,1
MEVS,1
AMICITIA,1
IAM,1
PVBLICVS/2,1
DICO/2,1
EX,1
ETIAM,1
CONSVL,1
QVAM/1,1
AVT,1
VRBS,1
HABEO,1
DE,1
ENIM/2,1
TANTVS,1
MVLTVS,1
DO,1
VIR,1
MAGNVS,1
NOS,1
IDEM,1
ISTE,1
SENATVS,1
DIES,1
NIHIL,1
VENIO,1
SIC,1
BONVS,1
VNVS,1
TAMEN,1
BELLVM,1
REX,1
FERO,1
TVM,1
AVTEM,1
ALTER,1
QVIDEM,1
ITA,1
ALIVS,1
TAM,1
VITA,1
LOCVS,1
NISI,1
MANVS/1,1
CIVIS,1
NE/4,1
NOSTER,1
PER,1
ANIMVS,1
DEVS,1
VIVO,1
PATER,1
TEMPVS/1,1
PVER,1
NVLLVS,1
SENTIO,1
AGO,1
HOMO,1
FRATER,1
INTER,1
CONSILIVM,1
NVNC,1
NEMO,1
ALIQVIS,1
QVIDAM,1
APVD,1
DOMVS,1
VOLO/3,1
HOSTIS,1
QVISQVAM,1
NAM,1
PARS,1
TERRA,1
AT/2,1
CORPVS,1
QVOQVE,1
PETO,1
IVBEO,1
VBI/1,1
AN,1
MORS,1
EO/1,1
ARMA,1
SVPERVS,1
PONO,1
DVM/2,1
SINE,1
TENEO,1
CAVSA,1
SEQVOR,1
CREDO,1
VIRTVS,1
ANTE/2,1
QVAERO,1
MITTO,1
VIS,1
AMOR,1
NOX,1
REGNVM,1
POPVLVS/1,1
PRO/1,1
CAPIO/2,1
DVCO,1
NOMEN,1
FORTVNA,1
NOVVS,1
GRAVIS,1
PARVVS/2,1
RELINQVO,1
SAEPE,1
FIO,1
DEINDE,1
MODO/1,1
SCELVS,1
