TITLE,HC Fourth Semester Latin Core
TANTVM/2,1
PVELLA,1
DOMINA,1
IVGVM,1
FLEO,1
PRIVS,1
QVANTVM/3,1
FACTVM,1
SAECVLVM,1
AEVVM,1
ILLVC,1
REQVIRO,1
LVDO,1
NAMQVE,1
QVIES,1
FORTASSE,1
DIGITVS,1
INCITO/1,1
APPETO,1
ANTEA,1
LVGEO,1
GREMIVM,1
LACVS,1
PRAETEREO/1,1
FOEDVS/1,1
VOLO/2,1
FRETVM,1
TRABS,1
LEVO/1,1
MORSVS,1
RVBEO,1
ORIGO,1
QVOD/1,1
VENENVM,1
VERVM/4,1
MOLESTVS,1
COLLOCO,1
CVPIDVS,1
SEVERVS,1
IVCVNDVS,1
BEATVS,1
SENEX/1,1
CANDIDVS,1
POETA,1
QVOT/1,1
ILLIC/2,2
VINVM,2
COHORS,2
DECET,2
CENTVM,2
AES,2
SEMEL,2
RECTVS,2
QVOMODO/1,2
NARRO,2
NVNTIVS/1,2
DORMIO,2
QVOT/1,2
VISO,2
INVITVS,2
PRAESERTIM,2
RESTITVO,2
QVISNAM,2
HINC,2
QVATIO,2
FVLGEO,2
COLLVM,2
REMITTO,2
DEPRECOR,2
NI/2,2
NEQVIQVAM,2
SAL,2
SINISTER,2
CONTINVVS,2
INTEREA,2
VERSVS/1,2
SANE,2
FAVEO,2
ARENA,2
HORREO,2
RVMOR,2
TOTIDEM/1,2
INCOLVMIS,2
NATIO/1,2
OCTO,2
CLIENS,2
SVSPICOR,2
INVIDEO,2
PVDEO,2
QVAESO,2
PARVM/2,3
MVNDVS/2,3
GAVDEO,3
AMNIS,3
TERGVM,3
CERTE,3
PRAEDA,3
NIGER,3
PIVS,3
FLOS,3
CASTVS/2,3
RVS,3
DECEM,3
POTIS,3
INSIDIAE,3
DENS,3
REPENTE,3
NEGLIGO,3
HAEREO,3
DIRIGO,3
PONS,3
ATTINGO,3
MIRVS,3
COMMENDO,3
PALAM/1,3
OBLIVISCOR,3
PAENITEO,3
CAVVS/2,3
CLAM/1,3
VNA,3
INSTRVO,3
INFESTVS,3
ABHORREO,3
SVBLEVO/1,3
FOSSA,3
AEQVO,3
VSQVAM,3
PERNICIES,3
SALIO/1,3
CRVS,3
SECVRIS,3
RVINA,3
VNGVIS,3
FOVEO,3
SOCER,3
SEV/1,4
CANO,4
TENER,4
LIMEN,4
SONO/1,4
FESSVS,4
MAESTVS,4
VVLGVS,4
CANIS,4
ORATIO,4
IRASCOR,4
INTEGER,4
APERIO,4
ONVS,4
FREQVENS,4
PAENE,4
CREO,4
IGNOSCO,4
AMBO/2,4
PRAEDICO/1,4
NEFARIVS,4
PROGENIES,4
OPACVS,4
PRAECEPS/2,4
INTERIOR,4
PAVLVM/1,4
PROFICIO,4
CONTENDO,4
LIBENTER,4
TABELLA,4
VOVEO,4
VLCISCOR,4
FRIGVS,4
VASTVS,4
CAERVLEVS,4
ATER,4
SICCVS,4
PIGNVS,4
NOVEM,4
NVNTIO,4
INCEDO/1,4
REFICIO,4
ORA,4
EDO/2,4
BIBO/2,4
MEMBRVM,5
CAEDO,5
DIVERSVS,5
ORO,5
CIBVS,5
AVDAX,5
FRVCTVS,5
CAVEO,5
FIDELIS/2,5
VERSOR,5
INCENDO,5
IMPROBVS,5
PERSPICIO,5
CONSVLATVS,5
PROICIO,5
DOMINVS,5
TENVIS,5
NEPOS/1,5
DEFESSVS,5
VEHEMENS,5
FAS,5
FLAGITO,5
VAGOR/2,5
DEMONSTRO,5
PREHENDO,5
AVSPICIVM,5
HESTERNVS,5
POTIVS,5
NEMVS,5
NITOR/2,5
PIETAS,5
VAGVS,5
EXSTINGVO,5
IVVENIS/1,5
