TITLE,"Catullus, Carmina",LOCALDEF
AB,"3_8, 4_23, 15_6, 15_9, 23_16, 24_6, 25_9, 37_2, 45_19, 46_10, 50_20, 59_5, 61_58, 61_89, 61_104, 61_141, 61_223, 61_226, 61_228, 62_30, 63_58, 63_92, 64_116, 64_132, 64_189, 64_190, 64_198, 64_275, 64_350, 65_2, 66_26, 66_32, 66_63, 66_76, 66_86, 67_11, 68_4, 68_14, 68_124, 68_158, 71_4, 76_8, 81_3, 87_2, 91_4, 96_2, 102_1","prep. with abl., from"
ABDVCO,68_103,"lead off, entice away"
ABEO/1,"14_16, 14_21, 27_5, 32_6, 50_7, 61_94, 61_109, 61_119, 61_199, 63_38, 63_42, 63_74, 68_85","go away or out; come off, turn out; escape criticism or other consequences"
ABHORREO,22_11,shrink back from; be inconsistent
ABICIO,"24_9, 88_2","throw away, cast off; dismiss, belittle, minimize"
ABIEGNVS,64_7,"made of silver fir; poet., wooden"
ABITVS,64_278,"departure, exit"
ABIVNGO,66_51,"separate, detach"
ABLVO,88_6,"wash away, wash clean"
ABRVMPO,68_84,"break; break off, separate"
ABRVPTVS,68_108,"steep, sheer"
ABSCONDO,61_205,conceal
ABSORBEO,68_107,"devour, engulf"
ABSTERGEO,99_8,wipe clean
ABSTINEO,"61_143, 61_143",keep away
ABSVM/1,"23_16, 23_16, 63_59, 63_60, 66_32, 66_75, 66_76, 67_38",be absent
ABSVMO,"64_242, 65_14","use up, consume, exhaust; do away with, remove by death"
ABVTOR,76_4,"use up; squander, exploit, abuse"
AC/1,"6_8, 6_16, 12_9, 14_8, 14_10, 14_20, 15_1, 16_7, 16_8, 22_11, 23_15, 28_9, 30_5, 30_9, 30_10, 31_8, 42_8, 60_3, 61_31, 64_36, 64_84, 64_126, 64_218, 64_229, 64_289, 66_50, 77_1, 22_16, 61_176","and; with comparisons, than"
ACCEPTVS,96_1,"welcome, acceptable, pleasing"
ACCIDO/1,"74_3, 96_2","reach, get through to, impinge upon; fall; befall; happen"
ACCIPIO,"13_9, 35_6, 36_16, 64_325, 64_373, 64_393, 68_13, 90_5, 101_9, 110_2","receive, accept; hear"
ACCVBO,61_171,"lie, recline"
